%Time,Tn-marg,          Tn-Phy,             d-geo,         Tn-Psi
0.0,0.001000221574309279,0.028012530694576702,1.6490221555155569,0.027396255924327692
0.122,0.0010002235302157365,0.028012611914730673,1.6482444141010786,0.02739633605627725
0.244,0.001002156547852414,0.02809516694654586,2.191472531421408,0.027477982949575774
0.366,0.0010040456469042414,0.028180692289801038,2.9550592701605534,0.027562983257032447
0.488,0.0010058902274253049,0.028269228173095136,3.706849613266821,0.027651422321482017
0.61,0.0010076900352681368,0.028360903722257365,4.1062187815559215,0.027743473515353837
0.732,0.0010094457567606525,0.028455858498646493,4.105368361249637,0.02783932193265186
0.854,0.0010111583159300892,0.028554242660401952,3.8677722470459757,0.02793916482102174
0.976,0.0010128289235311904,0.028656218704247706,3.585988787010395,0.028043212720604102
1.098,0.0010144591041414569,0.028761962463273418,3.4391891286543044,0.028151690660465568
1.22,0.0010160509064438125,0.028871664044790586,3.3419883755732998,0.028264839989575352
1.341,0.0010176061669653373,0.0289855294702788,3.3608787388110186,0.028382919186537087
1.463,0.0010191268872168128,0.029103782141757843,3.451521313023196,0.028506206048198257
1.585,0.0010206150308273603,0.029226664827235294,3.404079622795151,0.02863499957849647
1.707,0.0010220725448043095,0.029354441500164925,3.273013475867306,0.028769622310787203
1.829,0.0010235011595697194,0.029487399834208932,3.2137601912289675,0.02891042276959204
1.951,0.0010249027908782158,0.029625853475713063,3.233019635645312,0.029057778565102423
2.073,0.00102628076327665,0.029770144184596097,3.1592488973304715,0.029212099677879525
2.195,0.0010276402084166655,0.029920644924554426,3.1845437192412245,0.02937383177418618
2.317,0.001028985963337015,0.03007776743397683,3.2109093071303545,0.029543460521544086
2.439,0.0010303193337733642,0.030241961640809598,3.2659573592399265,0.029721517260903326
2.561,0.0010316490746569362,0.030413732442448965,3.1866986836020645,0.029908586033361776
2.683,0.00103297499865675,0.030593629112581396,3.1386832458844593,0.03010531024863266
2.805,0.0010343106682816525,0.03078226940075148,3.091995474284955,0.03031240524751861
2.927,0.0010356694657417116,0.030980348156116114,3.1079721010134076,0.030530661599610258
3.049,0.0010370588865816007,0.031188614910831337,3.0202950156025663,0.030760961318808802
3.171,0.0010385238225914546,0.03140793497865056,3.070707007831884,0.031004289042290495
3.293,0.001040092132248518,0.03163928270729325,3.2086452941526002,0.03126174620215122
3.415,0.0010418135232385748,0.03188367027052655,3.164579789830543,0.03153456430418518
3.537,0.001043781892981732,0.03214239985040307,3.1129467644947795,0.03182412987462058
3.659,0.0010460756834573559,0.03241671325630084,3.0308293164416087,0.03213199736478185
3.78,0.0010488192941053881,0.032708185665160705,3.107647326855884,0.032459911968276016
3.902,0.0010521792134566888,0.03301860585008793,3.072038245242917,0.03280984020712489
4.024,0.0010563235120421613,0.033349588558486555,3.0068182658790734,0.033183990112971844
4.146,0.001061490167646848,0.033703929871441635,3.1084311591890326,0.03358484880082857
4.268,0.0010679463062273874,0.034083066584253634,3.110125024258989,0.03401520513299297
4.39,0.0010760097493236664,0.034491052601743545,3.1214583933720013,0.034478191768587664
4.512,0.0010860715416065243,0.034929559353867996,3.0271394708632653,0.03497731425036586
4.634,0.0010985918723763234,0.03540300628303061,3.062510292413509,0.03551648419178496
4.756,0.00111409017405713,0.0359153056486261,3.105123181455101,0.03610006428200753
4.878,0.0011332384287360286,0.036468752374941564,3.0775256000893676,0.036732912275003214
5.0,0.0011567418428042083,0.03707245603445848,3.128994938703428,0.03742039385207363
5.122,0.0011855765023245592,0.037724570369480646,3.273975301755991,0.03816845842024961
5.244,0.001220727578596517,0.03843948844645428,3.4775315458776563,0.038983594928962126
5.366,0.0012634941521360017,0.03921487644162831,3.5699173616618234,0.03987293487676781
5.488,0.001315239527928868,0.040062556910413764,3.590395200609206,0.04084418163334075
5.61,0.0013775901553322635,0.04099162356904222,3.6053767087989623,0.04190569443394963
5.732,0.0014525208972881887,0.041997724018521566,3.648288070324854,0.043066508046395946
5.854,0.0015418796887058921,0.04311217327291337,3.8198090418642017,0.04433617661775092
5.976,0.001648021696747787,0.044312463665462654,3.954903693623977,0.04572493392869734
6.098,0.0017737617489819962,0.04563955213641946,4.010534452355398,0.047243583047174985
6.22,0.0019214050375797767,0.04708143522284225,4.085586617386185,0.04890321861737461
6.341,0.0020940605585834425,0.04864655679450407,4.161770859581187,0.05071551070214619
6.463,0.002295805880989111,0.05037835264736096,4.214818087345556,0.05269268063771938
6.585,0.0025300543460579986,0.05222098441424041,4.250441345720721,0.054847091132538175
6.707,0.0028001427012221826,0.05427288621628915,4.3627923181366075,0.057191171021119154
6.829,0.003110880564701303,0.056456499554562785,4.477674530861791,0.05973787918195838
6.951,0.0034680659146490984,0.058838347395166045,4.515179428576019,0.06250034520289081
7.073,0.0038766815685323344,0.06143318944153137,4.55586102940236,0.0654912174210783
7.195,0.004340143369364382,0.0641630084959961,4.6378262269081745,0.06872226262129616
7.317,0.0048622011507358205,0.06720616365587716,4.740344240761968,0.07220437226600666
7.439,0.005448107492425722,0.07035231149658992,4.792368896106966,0.07594826379044461
7.561,0.006103637330279537,0.07381560068739322,4.8534716537884615,0.07996398714491033
7.683,0.00683328374751209,0.07747934952533168,4.927212389301102,0.08426075790639477
7.805,0.007638698576493506,0.08132318845471845,4.99268281356371,0.0888461350752149
7.927,0.008520349574558984,0.08556411447878014,4.99593266043975,0.09372651457232059
8.049,0.009478560369313889,0.0898350174671777,5.0802705382595095,0.09890666365263964
8.171,0.010516171309214844,0.09459596058514232,5.192855551638114,0.1043909007722408
