     -1.39175851     -1.38012829     -1.37392964     -1.36922855     -1.36235180     -1.36229942     -1.36211610     -1.35139967     -1.35121636     -1.35072158
     -1.50420355     -1.49331608     -1.49258928     -1.48228009     -1.48175544     -1.48170181     -1.48169210     -1.47463734     -1.47080462     -1.47071945
     -1.50317520     -1.49229073     -1.49157710     -1.48125934     -1.48074753     -1.48069263     -1.48068256     -1.47368636     -1.46979808     -1.46971615
     -1.50215672     -1.49127533     -1.49057501     -1.48024864     -1.47974982     -1.47969362     -1.47968319     -1.47274641     -1.46880180     -1.46872313
     -1.50114798     -1.49026977     -1.48958289     -1.47924787     -1.47876220     -1.47870469     -1.47869388     -1.47181740     -1.46781567     -1.46774030
     -1.50014886     -1.48927394     -1.48860063     -1.47825692     -1.47778456     -1.47772572     -1.47771451     -1.47089922     -1.46683959     -1.46676753
     -1.49915926     -1.48828773     -1.48762813     -1.47727568     -1.47681678     -1.47675659     -1.47674499     -1.46999177     -1.46587345     -1.46580474
     -1.49817906     -1.48731101     -1.48666527     -1.47630403     -1.47585877     -1.47579722     -1.47578520     -1.46909495     -1.46491715     -1.46485180
     -1.49720814     -1.48634369     -1.48571194     -1.47534188     -1.47491042     -1.47484748     -1.47483503     -1.46820864     -1.46397058     -1.46390861
     -1.49624640     -1.48538564     -1.48476803     -1.47438911     -1.47397161     -1.47390728     -1.47389439     -1.46733275     -1.46303364     -1.46297507
     -1.49529372     -1.48443677     -1.48383344     -1.47344561     -1.47304223     -1.47297650     -1.47296316     -1.46646715     -1.46210622     -1.46205107
     -1.49434998     -1.48349696     -1.48290806     -1.47251127     -1.47212218     -1.47205503     -1.47204124     -1.46561172     -1.46118821     -1.46113650
     -1.49341508     -1.48256609     -1.48199176     -1.47158599     -1.47121133     -1.47114277     -1.47112851     -1.46476634     -1.46027952     -1.46023123
     -1.49248889     -1.48164405     -1.48108444     -1.47066964     -1.47030958     -1.47023960     -1.47022486     -1.46393088     -1.45938002     -1.45933517
     -1.49157131     -1.48073073     -1.48018599     -1.46976211     -1.46941680     -1.46934541     -1.46933018     -1.46310519     -1.45848961     -1.45844818
     -1.49066221     -1.47982602     -1.47929627     -1.46886330     -1.46853288     -1.46846008     -1.46844435     -1.46228912     -1.45760816     -1.45757016
     -1.48976148     -1.47892978     -1.47841517     -1.46797307     -1.46765767     -1.46758348     -1.46756725     -1.46148253     -1.45673556     -1.45670096
     -1.48886899     -1.47804191     -1.47754257     -1.46709131     -1.46679107     -1.46671550     -1.46669876     -1.46068524     -1.45587168     -1.45584047
     -1.48798462     -1.47716227     -1.47667834     -1.46621789     -1.46593291     -1.46585599     -1.46583874     -1.45989706     -1.45501640     -1.45498853
     -1.48710824     -1.47629075     -1.47582233     -1.46535269     -1.46508308     -1.46500484     -1.46498707     -1.45911781     -1.45416957     -1.45414502
     -1.48623973     -1.47542719     -1.47497442     -1.46449555     -1.46424141     -1.46416188     -1.46414360     -1.45834727     -1.45333106     -1.45330977
     -1.48537895     -1.47457148     -1.47413445     -1.46364636     -1.46340775     -1.46332699     -1.46330818     -1.45758523     -1.45250072     -1.45248263
     -1.48452576     -1.47372348     -1.47330227     -1.46280496     -1.46258194     -1.46249999     -1.46248067     -1.45683144     -1.45167839     -1.45166343
     -1.48368003     -1.47288302     -1.47247774     -1.46197121     -1.46176381     -1.46168073     -1.46166091     -1.45608566     -1.45086390     -1.45085200
     -1.48284161     -1.47204998     -1.47166067     -1.46114494     -1.46095318     -1.46086905     -1.46084872     -1.45534761     -1.45005710     -1.45004814
     -1.48201035     -1.47122419     -1.47085091     -1.46032600     -1.46014987     -1.46006475     -1.46004394     -1.45461702     -1.44925778     -1.44925168
     -1.48118610     -1.47040549     -1.47004828     -1.45951422     -1.45935367     -1.45926767     -1.45924638     -1.45389358     -1.44846577     -1.44846240
     -1.48036871     -1.46959372     -1.46925259     -1.45870942     -1.45856439     -1.45847760     -1.45845586     -1.45317698     -1.44768087     -1.44768009
     -1.47955802     -1.46878871     -1.46846365     -1.45791143     -1.45778182     -1.45769435     -1.45767217     -1.45246689     -1.44690454     -1.44690287
     -1.47875386     -1.46799030     -1.46768128     -1.45712006     -1.45700575     -1.45691771     -1.45689513     -1.45176299     -1.44613551     -1.44613156
     -1.47795609     -1.46719830     -1.46690527     -1.45633513     -1.45623596     -1.45614748     -1.45612452     -1.45106494     -1.44537279     -1.44536673
     -1.47716453     -1.46641255     -1.46613543     -1.45555645     -1.45547223     -1.45538344     -1.45536013     -1.45037238     -1.44461613     -1.44460815
     -1.47637902     -1.46563286     -1.46537155     -1.45478382     -1.45471434     -1.45462538     -1.45460176     -1.44968498     -1.44386530     -1.44385560
     -1.47559941     -1.46485906     -1.46461343     -1.45401706     -1.45396206     -1.45387309     -1.45384920     -1.44900239     -1.44312006     -1.44310886
     -1.47482553     -1.46409099     -1.46386089     -1.45325599     -1.45321518     -1.45312635     -1.45310224     -1.44832429     -1.44238018     -1.44236770
     -1.47405723     -1.46332847     -1.46311371     -1.45250041     -1.45247349     -1.45238495     -1.45236067     -1.44765035     -1.44164543     -1.44163191
     -1.47329436     -1.46257134     -1.46237173     -1.45175014     -1.45173679     -1.45164871     -1.45162429     -1.44698028     -1.44091559     -1.44090127
     -1.47253679     -1.46181944     -1.46163476     -1.45100502     -1.45100488     -1.45091741     -1.45089293     -1.44631379     -1.44019046     -1.44017558
     -1.47178436     -1.46107262     -1.46090264     -1.45027757     -1.45026488     -1.45019090     -1.45016640     -1.44565063     -1.43946984     -1.43945466
